10052023;715;A;CLP;0,006274;0,006288;787,9200;789,6200
11052023;715;A;CLP;0,006234;0,006248;795,3500;797,0500
12052023;715;A;CLP;0,006262;0,006277;784,4000;786,1000
15052023;715;A;CLP;0,006259;0,006273;782,7500;784,4500
16052023;715;A;CLP;0,006191;0,006196;792,8000;793,3700
17052023;715;A;CLP;0,006209;0,006223;795,7000;797,4000
18052023;715;A;CLP;0,006214;0,006229;797,1000;798,8000
19052023;715;A;CLP;0,006251;0,006265;795,7800;797,4800
22052023;715;A;CLP;0,006209;0,006214;799,5300;800,0200
23052023;715;A;CLP;0,00619;0,006197;801,5500;802,4000
24052023;715;A;CLP;0,006093;0,006098;811,2600;811,8900
25052023;715;A;CLP;0,006167;0,006172;809,9400;810,5600
26052023;715;A;CLP;0,006245;0,006259;800,6800;802,3800
29052023;715;A;CLP;0,006199;0,006213;804,0400;805,7400
30052023;715;A;CLP;0,006297;0,006306;802,3000;803,3000
31052023;715;A;CLP;0,00627;0,006273;812,3000;812,7000
01062023;715;A;CLP;0,006277;0,006283;801,4000;802,0000
02062023;715;A;CLP;0,006222;0,006229;795,5500;796,4500
05062023;715;A;CLP;0,006175;0,006182;796,4000;797,2000
06062023;715;A;CLP;0,006189;0,006193;795,9000;796,4000
07062023;715;A;CLP;0,006171;0,006184;794,3300;795,9300
09062023;715;A;CLP;0,006203;0,00621;787,7500;788,6500
12062023;715;A;CLP;0,006046;0,006051;807,0000;807,6000
13062023;715;A;CLP;0,006028;0,006033;804,5000;805,0000
14062023;715;A;CLP;0,006046;0,00605;801,0500;801,4500
15062023;715;A;CLP;0,006073;0,00608;793,0700;793,9700
16062023;715;A;CLP;0,006082;0,006087;793,3000;793,8500
19062023;715;A;CLP;0,005996;0,006009;795,5000;797,1000
20062023;715;A;CLP;0,005974;0,005978;801,8300;802,2000
21062023;715;A;CLP;0,005939;0,005946;803,8000;804,7000
22062023;715;A;CLP;0,005924;0,005928;805,4800;805,9900
23062023;715;A;CLP;0,005901;0,005907;809,2000;809,9000
26062023;715;A;CLP;0,005913;0,00592;805,6500;806,5500
27062023;715;A;CLP;0,006014;0,006025;795,1000;796,4000
28062023;715;A;CLP;0,006076;0,00608;798,7000;799,1900
29062023;715;A;CLP;0,006054;0,006057;802,1000;802,4000
30062023;715;A;CLP;0,006008;0,006014;801,4000;802,1000
03072023;715;A;CLP;0,005988;0,005993;798,9000;799,4000
04072023;715;A;CLP;0,00603;0,006034;796,4000;796,9000
05072023;715;A;CLP;0,00609;0,006094;797,1200;797,6000
06072023;715;A;CLP;0,006071;0,006084;805,0300;806,6300
07072023;715;A;CLP;0,006039;0,006041;807,8000;808,0000
10072023;715;A;CLP;0,005995;0,006004;811,7700;812,7700
11072023;715;A;CLP;0,005997;0,006005;815,1700;816,1700
12072023;715;A;CLP;0,00592;0,005933;810,0800;811,6800
13072023;715;A;CLP;0,005933;0,005946;807,9300;809,5300
14072023;715;A;CLP;0,005887;0,005895;813,5900;814,5900
17072023;715;A;CLP;0,00589;0,005898;818,9800;819,9800
18072023;715;A;CLP;0,005897;0,005905;813,5000;814,5000
19072023;715;A;CLP;0,005914;0,005922;810,5600;811,5600
20072023;715;A;CLP;0,005939;0,005947;805,2000;806,2000
21072023;715;A;CLP;0,005775;0,005779;825,9000;826,5000
24072023;715;A;CLP;0,005729;0,005732;827,9000;828,2000
25072023;715;A;CLP;0,005733;0,005736;828,0000;828,3000
26072023;715;A;CLP;0,005734;0,00574;825,2500;826,0500
27072023;715;A;CLP;0,005708;0,00572;825,1800;826,7800
28072023;715;A;CLP;0,005693;0,005705;828,3300;829,9300
31072023;715;A;CLP;0,005633;0,00564;840,7100;841,7100
01082023;715;A;CLP;0,005658;0,005663;843,1700;843,9200
02082023;715;A;CLP;0,005657;0,005662;849,3000;849,8000
03082023;715;A;CLP;0,005701;0,005708;854,9000;855,9000
04082023;715;A;CLP;0,005717;0,005729;848,5300;850,1300
07082023;715;A;CLP;0,005722;0,00573;855,4000;856,4000
08082023;715;A;CLP;0,005711;0,005716;861,1000;861,7000
09082023;715;A;CLP;0,005702;0,005705;859,2000;859,5000
10082023;715;A;CLP;0,005693;0,0057;851,2000;852,2000
11082023;715;A;CLP;0,005715;0,005723;854,8000;855,8000
14082023;715;A;CLP;0,00577;0,005778;856,4000;857,5000
15082023;715;A;CLP;0,005767;0,005775;862,6000;863,6000
16082023;715;A;CLP;0,005769;0,005777;861,6000;862,6000
17082023;715;A;CLP;0,005766;0,005777;862,2800;863,8800
18082023;715;A;CLP;0,005716;0,00572;869,3000;869,8000
21082023;715;A;CLP;0,005724;0,00573;870,0000;870,7000
22082023;715;A;CLP;0,005696;0,005702;866,9200;867,7200
23082023;715;A;CLP;0,005703;0,005709;857,9000;858,7000
24082023;715;A;CLP;0,005686;0,005691;856,6000;857,3000
25082023;715;A;CLP;0,005764;0,005771;845,1000;846,1000
28082023;715;A;CLP;0,005758;0,005762;849,3000;849,8000
29082023;715;A;CLP;0,005674;0,005681;857,4000;858,3000
30082023;715;A;CLP;0,005705;0,005711;851,9000;852,7000
31082023;715;A;CLP;0,005769;0,00578;851,4800;853,0800
01092023;715;A;CLP;0,005776;0,005782;853,0000;853,7000
04092023;715;A;CLP;0,005737;0,005743;856,3000;857,1000
05092023;715;A;CLP;0,005696;0,005702;871,7000;872,6000
06092023;715;A;CLP;0,005686;0,005693;874,1300;875,1300
08092023;715;A;CLP;0,005554;0,005574;894,0500;897,2500
11092023;715;A;CLP;0,005541;0,005548;889,8000;890,8000
12092023;715;A;CLP;0,005549;0,005556;891,1000;892,1000
13092023;715;A;CLP;0,005524;0,005529;889,3900;889,9900
14092023;715;A;CLP;0,005493;0,005498;886,7000;887,4000
15092023;715;A;CLP;0,00549;0,005494;886,2000;886,8000
18092023;715;A;CLP;0,005456;0,005462;888,5600;889,4600
19092023;715;A;CLP;0,005484;0,005497;883,6400;885,6400
20092023;715;A;CLP;0,005502;0,005504;880,9000;881,2000
21092023;715;A;CLP;0,00553;0,005533;889,8000;890,1000
22092023;715;A;CLP;0,005495;0,005502;892,9000;894,0000
25092023;715;A;CLP;0,005511;0,005517;899,2000;900,1000
26092023;715;A;CLP;0,00549;0,005497;904,4500;905,4500
27092023;715;A;CLP;0,00553;0,005536;908,4400;909,3000
28092023;715;A;CLP;0,00557;0,005575;905,4000;906,1000
29092023;715;A;CLP;0,005623;0,005625;890,2000;890,5000
02102023;715;A;CLP;0,005574;0,00558;908,1800;909,0800
03102023;715;A;CLP;0,005566;0,00557;917,5000;917,9000
04102023;715;A;CLP;0,005647;0,005652;911,7000;912,4000
05102023;715;A;CLP;0,005629;0,005639;917,0600;918,6600
06102023;715;A;CLP;0,005652;0,005659;917,5000;918,5000
09102023;715;A;CLP;0,005591;0,005597;923,0500;923,9500
10102023;715;A;CLP;0,005456;0,005463;931,1000;932,1000
11102023;715;A;CLP;0,005473;0,005479;921,7000;922,6000
13102023;715;A;CLP;0,00537;0,005378;941,4000;942,7000
16102023;715;A;CLP;0,005328;0,005333;949,1100;949,9700
17102023;715;A;CLP;0,005371;0,005377;937,0600;937,9200
18102023;715;A;CLP;0,005377;0,005382;939,5000;940,3600
19102023;715;A;CLP;0,005391;0,005396;936,6000;937,3000
20102023;715;A;CLP;0,00537;0,005374;940,3000;940,9000
23102023;715;A;CLP;0,005362;0,005374;933,4100;935,4100
24102023;715;A;CLP;0,005398;0,005404;926,4500;927,3100
25102023;715;A;CLP;0,005424;0,005429;920,7000;921,4000
26102023;715;A;CLP;0,005374;0,005384;929,6500;931,2500
27102023;715;A;CLP;0,005452;0,005458;906,5500;907,4500
30102023;715;A;CLP;0,005502;0,005506;909,4000;910,0000
31102023;715;A;CLP;0,005627;0,00564;896,6800;898,6800
01112023;715;A;CLP;0,0056;0,005607;895,2800;896,1800
03112023;715;A;CLP;0,005589;0,005595;874,2000;875,0000
06112023;715;A;CLP;0,005564;0,005568;880,0000;880,6000
07112023;715;A;CLP;0,005466;0,005486;887,1500;890,3500
08112023;715;A;CLP;0,005443;0,005451;896,2000;897,5000
09112023;715;A;CLP;0,005412;0,005416;904,9000;905,4000
10112023;715;A;CLP;0,005357;0,005376;915,5300;918,7300
13112023;715;A;CLP;0,005331;0,005346;921,2100;923,6100
14112023;715;A;CLP;0,005418;0,005421;898,0000;898,5000
16112023;715;A;CLP;0,005526;0,005533;878,0000;878,9000
17112023;715;A;CLP;0,005498;0,005502;887,9100;888,3700
20112023;715;A;CLP;0,005551;0,005556;876,9000;877,6000
21112023;715;A;CLP;0,005556;0,00557;876,3000;878,3000
22112023;715;A;CLP;0,005589;0,005595;875,2000;876,1000
23112023;715;A;CLP;0,005574;0,005587;875,7500;877,7500
24112023;715;A;CLP;0,005609;0,005623;870,1300;872,1300
27112023;715;A;CLP;0,005609;0,005614;872,0000;872,6000
28112023;715;A;CLP;0,005613;0,005619;869,7000;870,5000
29112023;715;A;CLP;0,005636;0,00564;867,6000;868,1000
30112023;715;A;CLP;0,005681;0,005692;867,1000;868,7000
01122023;715;A;CLP;0,005724;0,005731;858,4000;859,3000
04122023;715;A;CLP;0,005654;0,005658;867,7000;868,1600
05122023;715;A;CLP;0,005624;0,005635;878,8900;880,4900
06122023;715;A;CLP;0,005629;0,00564;869,4000;871,0000
07122023;715;A;CLP;0,00561;0,005627;869,9700;872,3700
08122023;715;A;CLP;0,005632;0,005648;870,3000;872,7000
11122023;715;A;CLP;0,0056;0,005604;882,2000;882,8000
12122023;715;A;CLP;0,005634;0,005645;876,5000;878,1000
13122023;715;A;CLP;0,005644;0,005648;877,8000;878,3000
14122023;715;A;CLP;0,005647;0,005652;865,4000;866,1000
15122023;715;A;CLP;0,005651;0,005662;872,4800;874,0800
18122023;715;A;CLP;0,005656;0,005668;871,6200;873,2200
19122023;715;A;CLP;0,005658;0,005662;859,4000;859,9000
20122023;715;A;CLP;0,005605;0,00561;869,2000;869,9000
21122023;715;A;CLP;0,005557;0,005573;874,8300;877,2300
22122023;715;A;CLP;0,005466;0,005472;888,5000;889,4000
26122023;715;A;CLP;0,005388;0,005392;897,1000;897,6000
27122023;715;A;CLP;0,005452;0,005468;883,4600;885,8600
28122023;715;A;CLP;0,005459;0,005468;885,4000;886,8000
29122023;715;A;CLP;0,005494;0,0055;880,2300;881,0900
02012024;715;A;CLP;0,005519;0,005535;883,8300;886,2300
03012024;715;A;CLP;0,005574;0,005578;882,2200;882,8200
04012024;715;A;CLP;0,005535;0,005537;888,3000;888,6000
05012024;715;A;CLP;0,005481;0,005489;890,9000;892,0000
08012024;715;A;CLP;0,0054;0,005403;904,1000;904,6000
09012024;715;A;CLP;0,005324;0,005331;917,9000;919,0000
10012024;715;A;CLP;0,005322;0,005325;918,3100;918,8100
11012024;715;A;CLP;0,005372;0,005377;907,4100;908,2700
12012024;715;A;CLP;0,005346;0,00535;907,3000;908,0000
15012024;715;A;CLP;0,005334;0,005344;912,4500;914,0500
